Year,BEV average price (USD),Mileage (Km),Lithium Ion Battery Price (USD),Average price of new car
2010,64032,127,1191,37500
2011,51736,139,924,37311
2012,52084,160,726,36874
2013,56028,189,668,37826
2014,44776,210,592,37519
2015,42340,211,384,38240
2016,46284,233,295,38455
2017,44776,267,221,38350
2018,41412,304,181,38365
2019,42804,336,157,40546
2020,54600,338,137,44021
2021,52900,349,132,49185
2022,67000,400,135,48000
